Course,CRN,Division,Availability,CourseTitle,Activity,Hours,Days,Time,Teacher
0921-410,63615,61,ممتلئة,مقترح مشروع,نظري,2,ح      ,2200 - 2250,نوره  الخالدي
0921-410,63622,62,ممتلئة,مقترح مشروع,نظري,2,ح      ,2300 - 2350,نور  حفصه
0921-410,63625,63,غير متاحة,مقترح مشروع,نظري,2, ن     ,2200 - 2250, 
0921-410,63627,64,غير متاحة,مقترح مشروع,نظري,2, ن     ,2300 - 2350, 
0921-410,63631,65,غير متاحة,مقترح مشروع,نظري,2,  ث    ,2200 - 2250, 
0921-410,63633,66,غير متاحة,مقترح مشروع,نظري,2,  ث    ,2300 - 2350, 
0921-411,63706,61,متاحة,هندسة برمجيات متقدمة,نظري,3, ن  ر   ,1600 - 1715,شارميلا  شيخ امام
0921-412,63716,61,متاحة,علم البيانات,نظري,4, ن  ر   ,1430 - 1545,صفاء  السلمان
0921-412,63742,81,متاحة,علم البيانات,عملي,0,   ر   ,1235 - 1415,صفاء  السلمان
0921-420,63750,61,غير متاحة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,محمد شجاع صميم
0921-420,63752,62,ممتلئة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,بدر  المري
0921-421,63754,61,متاحة,موضوعات مختارة في علوم الحاسب,نظري,3,ح  ث    ,1600 - 1715,هالة  حمدون
0921-323,64999,61,ممتلئة,معالجة الصور الرقمية,نظري,4,  ث    ,0900 - 1015,نوره بندر الشعيبي
0921-323,64999,61,ممتلئة,معالجة الصور الرقمية,نظري,4,   ر   ,1030 - 1145,نوره بندر الشعيبي
0921-323,65000,81,ممتلئة,معالجة الصور الرقمية,عملي,0,    خ  ,1030 - 1210,صفاء  السلمان
0921-120,65519,61,ممتلئة,مباديء البرمجة,نظري,4,ح    خ  ,1300 - 1415,سائره شيخ علي
0921-120,65520,81,ممتلئة,مباديء البرمجة,عملي,0, ن     ,1419 - 1559,سائره شيخ علي
0921-320,65576,61,ممتلئة,امن الحاسب,نظري,3,ح    خ  ,0730 - 0845,منى عبدالباسط علي
0921-220,66232,62,ممتلئة,اساسيات هندسة البرمجيات,نظري,4,  ث    ,0900 - 1015,شارميلا  شيخ امام
0921-220,66232,62,ممتلئة,اساسيات هندسة البرمجيات,نظري,4,   ر   ,1030 - 1145,شارميلا  شيخ امام
0921-220,66235,82,ممتلئة,اساسيات هندسة البرمجيات,عملي,0,  ث    ,1235 - 1415,منيرة فرحان الهاجري
0921-321,66239,61,ممتلئة,نظم التشغيل,نظري,4, ن  ر   ,0730 - 0845,فاطمة  راجينا
0921-321,66240,81,ممتلئة,نظم التشغيل,عملي,0,ح      ,1030 - 1210,فاطمة  راجينا
0921-420,66263,63,غير متاحة,تنفيذ مشروع,نظري,3,ح      ,2300 - 2350,عبدالرؤوف  خان
0921-420,66265,64,متاحة,تنفيذ مشروع,نظري,3,ح      ,2300 - 2350, 
0921-420,66267,65,غير متاحة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,علاء  الصغير
0921-420,66268,66,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,ساركار اناريانن سوريش
0921-420,66269,67,غير متاحة,تنفيذ مشروع,نظري,3, ن     ,2300 - 2350,علاء  الصغير
0921-220,66393,63,ممتلئة,اساسيات هندسة البرمجيات,نظري,4, ن  ر   ,1430 - 1545,ماجد محمد عبدالله السعيد
0921-220,66394,83,ممتلئة,اساسيات هندسة البرمجيات,عملي,0,   ر   ,1030 - 1210,فاطمه محمد العمير
0921-120,70373,62,ممتلئة,مباديء البرمجة,نظري,4, ن     ,0900 - 1015,وفاء علي مصلح
0921-120,70373,62,ممتلئة,مباديء البرمجة,نظري,4,   ر   ,0900 - 1015,وفاء علي مصلح
0921-120,70379,63,ممتلئة,مباديء البرمجة,نظري,4,ح    خ  ,0900 - 1015,وفاء علي مصلح
0921-120,70380,64,ممتلئة,مباديء البرمجة,نظري,4, ن  ر   ,1300 - 1415,إسراء  العقيلي
0921-120,70382,65,ممتلئة,مباديء البرمجة,نظري,4,ح    خ  ,1300 - 1415,الاء بنت عبدالله الجامع
0921-120,70383,66,ممتلئة,مباديء البرمجة,نظري,4, ن  ر   ,0900 - 1015,صفاء  السلمان
0921-120,70385,67,ممتلئة,مباديء البرمجة,نظري,4,ح    خ  ,0900 - 1015,وفاء علي مصلح
0921-120,70386,68,ممتلئة,مباديء البرمجة,نظري,4,  ث    ,1300 - 1415,كوثر  حميد
0921-120,70386,68,ممتلئة,مباديء البرمجة,نظري,4,    خ  ,1430 - 1545,كوثر  حميد
0921-120,70387,69,غير متاحة,مباديء البرمجة,نظري,4,ح    خ  ,1300 - 1415,كوثر  حميد
0921-120,70388,70,ممتلئة,مباديء البرمجة,نظري,4, ن  ر   ,0900 - 1015,إسراء  العقيلي
0921-120,70389,71,ممتلئة,مباديء البرمجة,نظري,4,ح    خ  ,0900 - 1015,عايشة  المغلوث
0921-120,70391,82,ممتلئة,مباديء البرمجة,عملي,0,   ر   ,1030 - 1210,وفاء علي مصلح
0921-120,70393,83,ممتلئة,مباديء البرمجة,عملي,0,   ر   ,1030 - 1210,منيرة فرحان الهاجري
0921-120,70394,84,ممتلئة,مباديء البرمجة,عملي,0,  ث    ,1419 - 1559,إسراء  العقيلي
0921-120,70395,85,ممتلئة,مباديء البرمجة,عملي,0, ن     ,1419 - 1559,سارة محمد الدوسري
0921-120,70396,86,ممتلئة,مباديء البرمجة,عملي,0,   ر   ,1030 - 1210,صفاء  السلمان
0921-120,70397,87,ممتلئة,مباديء البرمجة,عملي,0,   ر   ,1030 - 1210,كوثر  حميد
0921-120,70398,88,ممتلئة,مباديء البرمجة,عملي,0,  ث    ,1419 - 1559,منيرة فرحان الهاجري
0921-120,70399,89,غير متاحة,مباديء البرمجة,عملي,0,   ر   ,1419 - 1559,سائره شيخ علي
0921-120,70401,90,ممتلئة,مباديء البرمجة,عملي,0,ح      ,1419 - 1559,سارة محمد الدوسري
0921-120,70402,91,ممتلئة,مباديء البرمجة,عملي,0,ح      ,1419 - 1559,عايشة  المغلوث
0921-220,70411,64,متاحة,اساسيات هندسة البرمجيات,نظري,4,ح    خ  ,1300 - 1415,فاطمه محمد العمير
0921-220,70414,65,ممتلئة,اساسيات هندسة البرمجيات,نظري,4, ن  ر   ,0730 - 0845,فاطمه محمد العمير
0921-220,70418,84,متاحة,اساسيات هندسة البرمجيات,عملي,0,    خ  ,0830 - 1010,فاطمه محمد العمير
0921-220,70420,85,ممتلئة,اساسيات هندسة البرمجيات,عملي,0,   ر   ,1419 - 1559,فاطمه محمد العمير
0921-221,70433,62,غير متاحة,نظريات اللغات والاتمتةالمحدودة,نظري,3,ح    خ  ,1300 - 1415,عايشة  المغلوث
0921-221,70491,63,ممتلئة,نظريات اللغات والاتمتةالمحدودة,نظري,3,ح    خ  ,0730 - 0845,عايشة  المغلوث
0921-224,70492,61,ممتلئة,الرياضيات لعلوم الحاسب,نظري,3, ن  ر   ,0900 - 1015,نور  حفصه
0921-224,70497,62,ممتلئة,الرياضيات لعلوم الحاسب,نظري,3, ن  ر   ,1300 - 1415, 
0921-224,70500,63,غير متاحة,الرياضيات لعلوم الحاسب,نظري,3,ح    خ  ,1030 - 1145,نور  حفصه
0921-320,70506,62,ممتلئة,امن الحاسب,نظري,3, ن  ر   ,0730 - 0845,منى عبدالباسط علي
0921-320,70513,63,متاحة,امن الحاسب,نظري,3,  ث    ,0900 - 1015,منى عبدالباسط علي
0921-320,70513,63,متاحة,امن الحاسب,نظري,3,   ر   ,1030 - 1145,منى عبدالباسط علي
0921-320,70516,64,متاحة,امن الحاسب,نظري,3,  ث    ,1300 - 1415, 
0921-320,70516,64,متاحة,امن الحاسب,نظري,3,    خ  ,1430 - 1545, 
0921-320,70518,65,متاحة,امن الحاسب,نظري,3,ح  ث    ,1430 - 1545,عبدالرؤوف  خان
0921-321,70526,62,ممتلئة,نظم التشغيل,نظري,4,  ث    ,0900 - 1015,فاطمة  راجينا
0921-321,70526,62,ممتلئة,نظم التشغيل,نظري,4,   ر   ,1030 - 1145,فاطمة  راجينا
0921-321,70529,63,ممتلئة,نظم التشغيل,نظري,4,    خ  ,1430 - 1545,سارة محمد الدوسري
0921-321,70529,63,ممتلئة,نظم التشغيل,نظري,4,  ث    ,1300 - 1415,سارة محمد الدوسري
0921-321,70530,64,متاحة,نظم التشغيل,نظري,4,ح  ث    ,1430 - 1545,الاء بنت عبدالله الجامع
0921-321,70531,65,ممتلئة,نظم التشغيل,نظري,4, ن  ر   ,0730 - 0845,سارة محمد الدوسري
0921-321,70533,66,ممتلئة,نظم التشغيل,نظري,4,  ث    ,0900 - 1015,الاء بنت عبدالله الجامع
0921-321,70533,66,ممتلئة,نظم التشغيل,نظري,4,   ر   ,1030 - 1145,الاء بنت عبدالله الجامع
0921-321,70535,67,متاحة,نظم التشغيل,نظري,4,    خ  ,1430 - 1545,سارة محمد الدوسري
0921-321,70535,67,متاحة,نظم التشغيل,نظري,4,  ث    ,1300 - 1415,سارة محمد الدوسري
0921-321,70536,68,متاحة,نظم التشغيل,نظري,4,ح  ث    ,1430 - 1545,الاء بنت عبدالله الجامع
0921-321,70537,82,ممتلئة,نظم التشغيل,عملي,0,   ر   ,1235 - 1415,فاطمة  راجينا
0921-321,70539,83,ممتلئة,نظم التشغيل,عملي,0,ح      ,1235 - 1415,سارة محمد الدوسري
0921-321,70541,84,متاحة,نظم التشغيل,عملي,0,    خ  ,1030 - 1210,الاء بنت عبدالله الجامع
0921-321,70542,85,ممتلئة,نظم التشغيل,عملي,0,ح      ,1030 - 1210,سارة محمد الدوسري
0921-321,70543,86,ممتلئة,نظم التشغيل,عملي,0,   ر   ,1235 - 1415,سارة محمد الدوسري
0921-321,70544,87,متاحة,نظم التشغيل,عملي,0,ح      ,1235 - 1415,فاطمة  راجينا
0921-321,70546,88,متاحة,نظم التشغيل,عملي,0,    خ  ,1030 - 1210,سارة محمد الدوسري
0921-323,70549,62,ممتلئة,معالجة الصور الرقمية,نظري,4,    خ  ,1430 - 1545,نوره بندر الشعيبي
0921-323,70549,62,ممتلئة,معالجة الصور الرقمية,نظري,4,  ث    ,1300 - 1415,نوره بندر الشعيبي
0921-323,70551,63,غير متاحة,معالجة الصور الرقمية,نظري,4,ح  ث    ,1430 - 1545,نوره بندر الشعيبي
0921-323,70553,64,متاحة,معالجة الصور الرقمية,نظري,4,ح    خ  ,0730 - 0845,نوره بندر الشعيبي
0921-323,70555,82,ممتلئة,معالجة الصور الرقمية,عملي,0,ح      ,1030 - 1210,نوره بندر الشعيبي
0921-323,70557,83,غير متاحة,معالجة الصور الرقمية,عملي,0,    خ  ,1235 - 1415,نوره بندر الشعيبي
0921-323,70559,84,متاحة,معالجة الصور الرقمية,عملي,0, ن     ,1419 - 1559,نوره بندر الشعيبي
0921-324,70563,62,ممتلئة,الذكاء الاصطناعي,نظري,4,ح  ث    ,1430 - 1545,روابي عبدالعزيز عبدالله السديس
0921-324,70572,63,متاحة,الذكاء الاصطناعي,نظري,4,ح    خ  ,0730 - 0845,هالة  حمدون
0921-324,70575,64,غير متاحة,الذكاء الاصطناعي,نظري,4, ن  ر   ,0730 - 0845,هالة  حمدون
0921-324,70576,82,ممتلئة,الذكاء الاصطناعي,عملي,0,    خ  ,1235 - 1415,منيرة فرحان الهاجري
0921-324,70578,83,متاحة,الذكاء الاصطناعي,عملي,0, ن     ,1419 - 1559,منيرة فرحان الهاجري
0921-324,70580,84,غير متاحة,الذكاء الاصطناعي,عملي,0,   ر   ,1419 - 1559,منيرة فرحان الهاجري
0921-420,70583,68,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2300 - 2350,عبدالحافظ  عبدالحافظ
0921-420,70585,69,ممتلئة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,فاطمه محمد العمير
0921-420,70586,70,ممتلئة,تنفيذ مشروع,نظري,3,  ث    ,2200 - 2250,روابي عبدالعزيز عبدالله السديس
0921-420,70589,71,ممتلئة,تنفيذ مشروع,نظري,3,  ث    ,2300 - 2350,روابي عبدالعزيز عبدالله السديس
0921-420,70591,72,غير متاحة,تنفيذ مشروع,نظري,3,  ث    ,2300 - 2350,فاطمه محمد العمير
0921-420,70593,73,ممتلئة,تنفيذ مشروع,نظري,3,   ر   ,2200 - 2250,نوره  الخالدي
0921-420,70595,74,ممتلئة,تنفيذ مشروع,نظري,3,   ر   ,2200 - 2250,سارة محمد الدوسري
0921-420,70598,75,ممتلئة,تنفيذ مشروع,نظري,3,   ر   ,2300 - 2350,منيرة فرحان الهاجري
0921-414,70804,61,غير متاحة,الحوسبة واسعة الانتشار,ا ختياري,3,ح    خ  ,0900 - 1015, 
0921-415,70805,61,غير متاحة,تعلم الاله,ا ختياري,3,ح    خ  ,0730 - 0845, 
0921-219,70811,60,غير متاحة,البرمجة الكائنية التوجة في الر,نظري,3,ح      ,0730 - 0920, 
0921-219,70814,81,غير متاحة,البرمجة الكائنية التوجة في الر,عملي,0,ح      ,0930 - 1120, 
0921-120,75436,95,غير متاحة,مباديء البرمجة,عملي,0,ح      ,1419 - 1559, 
0921-210,75459,63,غير متاحة,البرمجة كائنية التوجه (1),نظري,4,  ث    ,1300 - 1415, 
0921-210,75459,63,غير متاحة,البرمجة كائنية التوجه (1),نظري,4,    خ  ,1430 - 1545, 
0921-210,75471,64,غير متاحة,البرمجة كائنية التوجه (1),نظري,4,ح    خ  ,0730 - 0845, 
0921-210,75497,83,غير متاحة,البرمجة كائنية التوجه (1),عملي,0,  ث    ,0830 - 1010, 
0921-210,75503,84,غير متاحة,البرمجة كائنية التوجه (1),عملي,0,   ر   ,1030 - 1210, 
0921-220,75581,66,ممتلئة,اساسيات هندسة البرمجيات,نظري,4,   ر   ,1030 - 1145,شارميلا  شيخ امام
0921-220,75581,66,ممتلئة,اساسيات هندسة البرمجيات,نظري,4,  ث    ,0900 - 1015,شارميلا  شيخ امام
0921-220,75622,86,ممتلئة,اساسيات هندسة البرمجيات,عملي,0,  ث    ,1235 - 1415,فاطمه محمد العمير
0921-311,75659,63,متاحة,تصميم وتحليل الخوارزميات,نظري,3, ن  ر   ,1600 - 1715,ساركار اناريانن سوريش
0921-314,75674,63,متاحة,اساسيات برمجة الويب,نظري,4, ن  ر   ,1300 - 1415,هديل  الزعبي
0921-314,75684,83,متاحة,اساسيات برمجة الويب,عملي,0,  ث    ,0830 - 1010,هديل  الزعبي
0921-321,75720,69,متاحة,نظم التشغيل,نظري,4,ح    خ  ,0730 - 0845,فاطمة  راجينا
0921-321,75722,70,متاحة,نظم التشغيل,نظري,4,ح    خ  ,0730 - 0845,فاطمة  راجينا
0921-321,75732,89,متاحة,نظم التشغيل,عملي,0,  ث    ,0830 - 1010,فاطمه محمد العمير
0921-321,75733,90,متاحة,نظم التشغيل,عملي,0,  ث    ,0830 - 1010,فاطمه محمد العمير
0921-410,75740,67,غير متاحة,مقترح مشروع,نظري,2,   ر   ,2200 - 2250, 
0921-411,75755,62,متاحة,هندسة برمجيات متقدمة,نظري,3, ن  ر   ,1430 - 1545,شارميلا  شيخ امام
0921-412,75756,62,غير متاحة,علم البيانات,نظري,4, ن  ر   ,1600 - 1715, 
0921-412,75757,82,غير متاحة,علم البيانات,عملي,0,ح      ,1235 - 1415, 
0921-120,75758,73,غير متاحة,مباديء البرمجة,نظري,4,ح    خ  ,1300 - 1415, 
0921-120,75759,74,ممتلئة,مباديء البرمجة,نظري,4, ن  ر   ,0900 - 1015,منيرة فرحان الهاجري
0921-120,75760,75,غير متاحة,مباديء البرمجة,نظري,4,ح    خ  ,0900 - 1015, 
0921-120,75762,93,غير متاحة,مباديء البرمجة,عملي,0,   ر   ,1419 - 1559, 
0921-120,75763,94,ممتلئة,مباديء البرمجة,عملي,0,ح      ,1419 - 1559,منيرة فرحان الهاجري
0921-120,76620,72,غير متاحة,مباديء البرمجة,نظري,4, ن  ر   ,1300 - 1415, 
0921-120,76621,92,غير متاحة,مباديء البرمجة,عملي,0,  ث    ,1419 - 1559, 
0921-425,77009,61,ممتلئة,الحوسبة المتوازية,ا ختياري,3, ن  ر   ,0900 - 1015,هديل  الزعبي
0921-330,79061,61,ممتلئة,التدريب (التعاوني) العملي,نظري,3,  ث    ,2300 - 2350,نوره  الخالدي
0921-224,79321,64,غير متاحة,الرياضيات لعلوم الحاسب,نظري,3, ن     ,1020 - 1230, 
0921-420,79385,76,ممتلئة,تنفيذ مشروع,نظري,3,   ر   ,2300 - 2350,هالة  حمدون
0921-420,79386,77,غير متاحة,تنفيذ مشروع,نظري,3,    خ  ,2200 - 2250,شارميلا  شيخ امام
0921-120,80427,77,ممتلئة,مباديء البرمجة,نظري,4,    خ  ,1430 - 1545,شريفه احمد عبدالعزيز العامر
0921-120,80427,77,ممتلئة,مباديء البرمجة,نظري,4,  ث    ,1300 - 1415,شريفه احمد عبدالعزيز العامر
0921-120,80430,78,غير متاحة,مباديء البرمجة,نظري,4,  ث    ,1300 - 1415,شريفه احمد عبدالعزيز العامر
0921-120,80430,78,غير متاحة,مباديء البرمجة,نظري,4,    خ  ,1430 - 1545,شريفه احمد عبدالعزيز العامر
0921-120,80432,79,غير متاحة,مباديء البرمجة,نظري,4, ن  ر   ,1300 - 1415, 
0921-120,80435,97,ممتلئة,مباديء البرمجة,عملي,0,ح      ,1419 - 1559,فاطمة  راجينا
0921-120,80438,98,غير متاحة,مباديء البرمجة,عملي,0,   ر   ,1235 - 1415,وفاء علي مصلح
0921-120,80441,99,غير متاحة,مباديء البرمجة,عملي,0,  ث    ,0830 - 1010, 
0921-421,80466,62,متاحة,موضوعات مختارة في علوم الحاسب,نظري,3,ح  ث    ,1430 - 1545,هالة  حمدون
0921-424,80469,61,متاحة,الطرق الرسميةفي هندسةالبرمجيات,ا ختياري,3,ح    خ  ,0900 - 1015,شارميلا  شيخ امام
0921-310,84086,61,متاحة,البرمجة كائنية التوجه (2),نظري,4,ح    خ  ,0900 - 1015,صفاء  السلمان
0921-310,84087,81,متاحة,البرمجة كائنية التوجه (2),عملي,0,    خ  ,1235 - 1415,صفاء  السلمان
0921-311,84088,61,متاحة,تصميم وتحليل الخوارزميات,نظري,3,    خ  ,1430 - 1545,نور  حفصه
0921-311,84088,61,متاحة,تصميم وتحليل الخوارزميات,نظري,3,  ث    ,1300 - 1415,نور  حفصه
0921-311,84089,62,متاحة,تصميم وتحليل الخوارزميات,نظري,3, ن  ر   ,1300 - 1415,ساركار اناريانن سوريش
0921-219,70813,80,غير متاحة,البرمجة الكائنية التوجة في الر,عملي,0, ن     ,0730 - 0920,الاء بنت عبدالله الجامع
0921-413,80463,61,متاحة,لغة برمجة متقدمة,ا ختياري,3,ح    خ  ,0730 - 0845,حافظ  فاروق
0921-004,83910,Gب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83915,Lب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83911,Hب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-420,85003,82,ممتلئة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,هالة  حمدون
0921-004,83912,Iب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-420,85001,80,ممتلئة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,هديل  الزعبي
0921-004,83914,Kب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-420,84999,78,متاحة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,نور  حفصه
0921-004,83909,Fب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83916,Mب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83904,Aب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83907,Dب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83908,Eب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83913,Jب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83917,Nب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83918,Oب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-004,83906,Cب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0921-420,85002,81,ممتلئة,تنفيذ مشروع,نظري,3, ن     ,2200 - 2250,هديل  الزعبي
0921-219,70812,61,متاحة,البرمجة الكائنية التوجة في الر,نظري,3,ح      ,0730 - 0920,الاء بنت عبدالله الجامع
0921-420,85000,79,ممتلئة,تنفيذ مشروع,نظري,3,ح      ,2200 - 2250,منى عبدالباسط علي
0921-004,83905,Bب,متاحة,مدخل الى الذكاء الاصطناعي,نظري,2,  ث    ,1830 - 1855,عيد محمد عيد البلوي
0912-323,70877,61,غير متاحة,النظم المبنية على الويب,نظري,3, ن  ر   ,1430 - 1545, 
0912-322,79318,81,ممتلئة,اتصال الإنسان بالحاسب,عملي,0,   ر   ,1600 - 1740, 
0912-322,79317,61,ممتلئة,اتصال الإنسان بالحاسب,نظري,3,ح  ث    ,1430 - 1545, 
